|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector|hasDotCom
669|Mic Network|1800000.0|Opinions|15000000|operating|USA|New York|3|2011.0|online platforms and marketplaces|0
670|Middle Kingdom Studios|1000000.0|Messaging|1000000|operating|CHN|Sichuan|1|1999.0|online platforms and marketplaces|0
671|MilePoint|1000000.0|Forums|1000000|operating|USA|Colorado Springs|1|2011.0|online platforms and marketplaces|0
672|Milmenus.com|7500.0|Mobile|7500|operating|COL|Bogotá|1|2010.0|online platforms and marketplaces|1
673|Mindlikes|22500.0|E-Commerce|22500|closed|RUS|Moscow|2|2011.0|online platforms and marketplaces|0
674|Mingly|500000.0|Social Media|500000|operating|USA|San Francisco|1|2010.0|online platforms and marketplaces|0
675|Minube|1286600.0|Social Media|1286600|operating|ESP|Alcorcón|1|2007.0|online platforms and marketplaces|0
676|Mobee|1100000.0|Crowdsourcing|1100000|operating|USA|Boston|1|2012.0|online platforms and marketplaces|0
677|MobileApps.com|400000.0|App Stores|400000|operating|SGP|Singapore|1|2010.0|online platforms and marketplaces|1
678|MobileROI|1000000.0|Mobile Commerce|6000000|operating|USA|New York|2|2013.0|online platforms and marketplaces|0
679|MobilityBee.com|200000.0|Mobile|300000|operating|LTU|Vilnius|2|2011.0|online platforms and marketplaces|1
680|Mobshop|126080.0|E-Commerce|126080|closed|FRA|Paris|1|2008.0|online platforms and marketplaces|0
681|Mobypark|20000.0|E-Commerce Platforms|842000|operating|FRA|Paris|2|2012.0|online platforms and marketplaces|0
682|ModCloth|1055000.0|Crowdsourcing|63739701|operating|USA|San Francisco|6|2002.0|online platforms and marketplaces|0
683|Modabound|120000.0|E-Commerce|120000|operating|USA|New York|1|2013.0|online platforms and marketplaces|0
684|Modastic Groupe|20000.0|E-Commerce|20000|operating|||1|2013.0|online platforms and marketplaces|0
685|Modavanti.com|300000.0|Sustainability|300000|operating|USA|New York|1|2012.0|online platforms and marketplaces|1
686|Modera.co|500000.0|Social Media|500000|operating|USA|Sacramento|1|2010.0|online platforms and marketplaces|0
687|Modusly|79872.0|E-Commerce|79872|operating|ESP|Madrid|1|2012.0|online platforms and marketplaces|0
688|Mom Trusted|1000000.0|Social Media|1000000|operating|USA|Menlo Park|1|2008.0|online platforms and marketplaces|0
689|Moment.me|1500000.0|Social Media|3150000|operating|USA|New York|2|2012.0|online platforms and marketplaces|0
690|Mommy Nearest|350000.0|Social Media|350000|operating|USA|New York|1|2013.0|online platforms and marketplaces|0
691|Monetsu|100000.0|E-Commerce|100000|operating|USA|Mountain View|1|2013.0|online platforms and marketplaces|0
692|MoneyHero.com.hk|3000000.0|E-Commerce|3000000|operating|HKG|Sheung Wan|1|2012.0|online platforms and marketplaces|1
693|Moneybook2u.Com|1500.0|Social Media|1500|operating|BGD|Dhaka|1|2010.0|online platforms and marketplaces|0
694|Moneylib|265000.0|E-Commerce|265000|operating|FRA|Paris|1|2012.0|online platforms and marketplaces|0
695|MonkeyFind|79248.0|Social Media|79248|operating|GBR|Henley On Thames|1|2012.0|online platforms and marketplaces|0
696|Moodswiing|100000.0|Social Media|100000|operating|USA|Tulsa|1|2012.0|online platforms and marketplaces|0
