|company_name|raised_amount_usd|market|funding_total_usd|status|country_code|city|funding_rounds|founded_year|sector
2120|Cutefund|29833.0|All Markets|29833.0|operating|||1.0|2010.0|other consumer retail
2121|Cutetown|150000.0|Maps|150000.0|operating|RUS|Perm|1.0|2011.0|other
2122|Cuturia|200000.0|Mobile|200000.0|closed|USA|Los Angeles|1.0|2012.0|consumer electronics
2123|Cuurio|300000.0|Brand Marketing|300000.0|operating|USA|New York|1.0|2013.0|sales, marketing and advertising
2124|Cuyana|1700000.0|E-Commerce|1700000.0|operating|USA|San Francisco|1.0|2013.0|online platforms and marketplaces
2125|Cuídate|200000.0|Health Care|200000.0|operating|MEX|Mexico City|1.0|2012.0|healthcare
2126|CybEye|3000000.0|Software|3000000.0|operating|USA|Rolling Hills Estates|1.0|2011.0|technology
2127|Cyber Gifts|100000.0|E-Commerce|100000.0||USA|Wilmington|1.0|2013.0|online platforms and marketplaces
2128|Cyber Holdings|152000.0|Games|152000.0|operating|USA|San Diego|1.0|2011.0|events, travels, leisure and entertainment
2129|Cyber Interns|50000.0|Media|50000.0|operating|USA|Los Angeles|1.0|2011.0|online platforms and marketplaces
2130|CyberFlow Analytics|2000000.0|Software|2000000.0|operating|USA|San Diego|1.0|2013.0|technology
2131|CyberSponse|1500000.0|Security|3095000.0|operating|USA|Phoenix|3.0|2011.0|services
2132|CyberX|2020000.0||||||||
2133|Cybronics|57000.0|Software|57000.0|operating|FRA|Paris|1.0|2010.0|technology
2134|Cycle Money|40000.0|Recycling|40000.0|operating|CHL|Santiago|1.0|2014.0|services
2135|Cympel|175000.0|Advertising|175000.0|operating|USA|Omaha|1.0|2011.0|sales, marketing and advertising
2136|Cymtec Systems|1314666.0|Software|4026891.0|operating|USA|Sunnyvale|3.0|2000.0|technology
2137|Cynny|3296065.0|Social Network Media|6510878.0|operating|USA|Menlo Park|2.0|2012.0|online platforms and marketplaces
2138|Cyphort|1200000.0|Network Security|23700000.0|operating|USA|Santa Clara|3.0|2011.0|technology
2139|Cypress Envirosystems|465850.0|Clean Technology|465850.0|operating|USA|San Jose|1.0|2006.0|technology
2140|CytoSolv|500000.0|Biotechnology|500000.0|operating|USA|Tiverton|1.0|2009.0|technology
2141|CÜR Media|150000.0|Entertainment|9750000.0|operating|USA|South Glastonbury|2.0|2009.0|events, travels, leisure and entertainment
2142|Cátedras Libres|40000.0|Education|40000.0|operating|DZA||1.0|2012.0|education
2143|D square nv|194130.0|Data Mining|2866335.0|operating|BEL|Hasselt|3.0|2007.0|technology
2144|D-Sight|1342281.0|Software|1342281.0|operating|BEL|Brussels|1.0|2010.0|technology
2145|D.A.M. Good Media Limited|600364.0||||||||
2146|D1G|1000000.0|Language Learning|1000000.0|operating|JOR|Amman|2.0|1999.0|education
2147|D8A Group|45000.0||||||||
2148|DAD Technology Limited|365275.0|Software|1458392.0|operating|GBR|Frensham|2.0|2009.0|technology
2149|DATY|64330.0|Analytics|64330.0|operating|CZE|Praha|1.0|2014.0|technology
2150|DBJ Financial Services|115000.0|Finance|115000.0|operating|||1.0|2008.0|financials
2151|DBVu|121857.0|Analytics|121857.0|operating|||1.0|2010.0|technology
2152|DCL Ventures, Inc.|1000000.0|Pets|1000000.0|operating|USA|New York|1.0|2013.0|animals, plants and environment
2153|DCMobility|455000.0|Mobile|455000.0|operating|USA|Mclean|1.0|2012.0|consumer electronics
2154|DDRdrive|475000.0||||||||
2155|DDVTECH|632200.0|Web Tools|632200.0|operating|NLD|Rotterdam|1.0|2009.0|technology
2156|DEQ|1000000.0|Games|1000000.0|operating|CAN|Quebec|1.0|1998.0|events, travels, leisure and entertainment
2157|DEXMA|1391800.0|SaaS|1391800.0|operating|ESP|Barcelona|1.0|2007.0|services
2158|DGTS|80000.0|Gps|80000.0|operating|||1.0|2013.0|technology
2159|DIIME|20000.0|Health and Wellness|20000.0|operating|USA|Ypsilanti|1.0|2011.0|healthcare
2160|DIN Forums™ Network|500000.0|Entertainment Industry|500000.0|operating|||1.0|2013.0|events, travels, leisure and entertainment
2161|DINKlife|95000.0|Sales and Marketing|95000.0|operating|USA|San Francisco|1.0|2010.0|sales, marketing and advertising
2162|DITTO.com|3000000.0|E-Commerce|8000000.0|operating|USA|San Mateo|2.0|2011.0|online platforms and marketplaces
2163|DIVINE Media Networks|135000.0|Sales and Marketing|135000.0|operating|DEU|Munich|1.0|2013.0|sales, marketing and advertising
2164|DIY|1500000.0|Education|5500000.0|operating|USA|San Francisco|2.0|2011.0|education
2165|DIY Genius|40000.0|Education|40000.0|operating|CAN|Vancouver|1.0|2011.0|education
2166|DJZ|3000000.0||||||||
2167|DNA Guide|250000.0|Maps|250000.0|operating|USA|Sebastopol|1.0|2009.0|other
2168|DNA SEQ|1000000.0|Genetic Testing|1000000.0|operating|USA|La Jolla|1.0|2013.0|healthcare
2169|DNAtriX|5864813.0||||||||
2170|DOOMORO|150000.0|Curated Web|150000.0|operating|||1.0|2013.0|services
2171|DOZ|1500000.0|Enterprise Software|1500000.0|operating|||1.0|2013.0|technology
2172|DP7 Digital|100000.0|Software|100000.0|closed|BRA|São Paulo|1.0|2009.0|technology
2173|DRAFT|650000.0|Investment Management|650000.0|operating|USA|Austin|1.0|2014.0|financials
2174|DRESSBOOM|55000.0|E-Commerce|55000.0|operating|||1.0|2013.0|online platforms and marketplaces
2175|DS Corporation|1199998.0|Video|1199998.0|operating|USA|American Fork|1.0|2008.0|technology
